content,score,sentimen,content_clean
Aku meh donwload lagu malah metu link mengkene,1,0,meh download lagu metu link mengkene
"Saya turunkan, disaat kayak gini ovo paylater malah mencekek. Minta dilunas total, pdhal awalnya bulanan. Kalo takut ngapain buka usaha. Kan udh verif id ngapain pake kyak gini. Ovo paylater terblokir, telat kgak salah kagak. Kalo udh bner saya naikin bintangnya.",1,0,turun ovo paylater cekek lunas total bulan takut buka usaha verif id pakai ovo paylater blokir telat kgak salah naik bintang
bagus,3,0,bagus
Saya membeli pelatihan membuat dan menjual masker kain melawan virus corona pd tgl 1 october 2020 saya sudah menyelesaikan semua pelatihan sampai webinar dan mendapatkan sertifikat tp ketika saya ingin memberi ranting ke pelatihan yg sudah saya beli tp di kolom pembelian dan top up ga ada pembelian saya ke sertifikat nya blum masuk Ke prakerja saya,3,0,beli latih jual masker kain lawan virus corona tanggal october selesai latih webinar sertifikat ranting latih beli kolom beli top up beli sertifikat masuk prakerja
Toko pedia ngpusi,1,0,tokopedia ngpusi
Iklan lu dimana* asu,1,0,iklan asu
Apk gk guna gw kena tipu anjg 550k anjglah,1,0,aplikasi kena tipu anjg anjglah
"Yang terhormat, Tokopedia. Tolong jangan bolak-balik iklan di game aku, setiap masuk game, yang keluar iklan Tokopedia dengan idol-idol Korea. Saya sarankan anda untuk meningkatkan kualitas dagang dan layanan kepada konsumen dan bukannya memborbardir pengguna smartphone dengan iklan anda, itu akan membuat kalian sukses seperti Amazon atau Alibaba yang jarang atau bahkan tidak pernah iklan di Smartphone kebanyakan orang😞",1,0,hormat tokopedia bolak iklan game masuk game iklan tokopedia idol idol korea saran tingkat kualitas dagang layan konsumen memborbardir guna smartphone iklan sukses amazon alibaba jarang iklan smartphone banyak orang
"Sangat buruk, pelayanan nya kurang cepat,. Saya mau login kok tidak bisa masuk padahal sudah di kirim SMS kode verifikasi nya maupun email tetap gak masuk, di email di beritahu bahwa akun nya sedang login di hp saya tapi kok belum masuk di dashboard Tokopedia, saya blokir akun saya padahal disitu ada riwayat pelatihan prakerja saya & saya login cuma kasih rating aja kok ribet amat",1,0,buruk layan cepat login masuk kirim sms kode verifikasi email masuk email beritahu akun login hp masuk dashboard tokopedia blokir akun riwayat latih prakerja login kasih rating ribet
Anjing gk bisa iklannya keluar terus ni aplikasi setiap gw pencet di uc browser,1,0,anjing iklan aplikasi pencet uc browser
Dicoba coba dulu ☝️☝️💥💯,3,0,coba coba
Bisa pakek top up ini,1,0,pakai top up
"Coba dulu, klau bagus dan lancar baru kasih 5 bintang.",2,0,coba bagus lancar kasih bintang
makin ribet. laporan daftar transaksi sering lambat,1,0,ribet lapor daftar transaksi lambat
"Gak jelas, gangguan melulu.",1,0,ganggu melulu
"sy ingin membeli senapan angin kenapa selalu di persulit . setiap kali sy taruh di keranjang tau"" toko dalam pengawasan barang nya gk bisa di beli. Jelek tokopedia",1,0,beli senapan angin sulit taruh keranjang toko awas barang beli jelek tokopedia
"Maaf, sya kasih 3 dulu ja..soal ny sya ni baru masuk d aflikasi ny. Insa allah klo lebih bgus sya beri 5 bintag🙏🙏🙏",3,0,maaf kasih masuk aflikasi insa allah bagus bintag
Min gua nyoba tukar tambah kok gak bisa si mala di suruh berkali kali cek volume padahan normal gua kasih bintang 1 deh,1,0,coba tukar suruh kali cek volume padah normal kasih bintang
