content,score,sentimen
Aku meh donwload lagu malah metu link mengkene,1,0
"Saya turunkan, disaat kayak gini ovo paylater malah mencekek. Minta dilunas total, pdhal awalnya bulanan. Kalo takut ngapain buka usaha. Kan udh verif id ngapain pake kyak gini. Ovo paylater terblokir, telat kgak salah kagak. Kalo udh bner saya naikin bintangnya.",1,0
bagus,3,0
Saya membeli pelatihan membuat dan menjual masker kain melawan virus corona pd tgl 1 october 2020 saya sudah menyelesaikan semua pelatihan sampai webinar dan mendapatkan sertifikat tp ketika saya ingin memberi ranting ke pelatihan yg sudah saya beli tp di kolom pembelian dan top up ga ada pembelian saya ke sertifikat nya blum masuk Ke prakerja saya,3,0
Toko pedia ngpusi,1,0
Iklan lu dimana* asu,1,0
Apk gk guna gw kena tipu anjg 550k anjglah,1,0
"Yang terhormat, Tokopedia. Tolong jangan bolak-balik iklan di game aku, setiap masuk game, yang keluar iklan Tokopedia dengan idol-idol Korea. Saya sarankan anda untuk meningkatkan kualitas dagang dan layanan kepada konsumen dan bukannya memborbardir pengguna smartphone dengan iklan anda, itu akan membuat kalian sukses seperti Amazon atau Alibaba yang jarang atau bahkan tidak pernah iklan di Smartphone kebanyakan orang😞",1,0
"Sangat buruk, pelayanan nya kurang cepat,. Saya mau login kok tidak bisa masuk padahal sudah di kirim SMS kode verifikasi nya maupun email tetap gak masuk, di email di beritahu bahwa akun nya sedang login di hp saya tapi kok belum masuk di dashboard Tokopedia, saya blokir akun saya padahal disitu ada riwayat pelatihan prakerja saya & saya login cuma kasih rating aja kok ribet amat",1,0
Anjing gk bisa iklannya keluar terus ni aplikasi setiap gw pencet di uc browser,1,0
Dicoba coba dulu ☝️☝️💥💯,3,0
Bisa pakek top up ini,1,0
"Coba dulu, klau bagus dan lancar baru kasih 5 bintang.",2,0
makin ribet. laporan daftar transaksi sering lambat,1,0
"Gak jelas, gangguan melulu.",1,0
"sy ingin membeli senapan angin kenapa selalu di persulit . setiap kali sy taruh di keranjang tau"" toko dalam pengawasan barang nya gk bisa di beli. Jelek tokopedia",1,0
"Maaf, sya kasih 3 dulu ja..soal ny sya ni baru masuk d aflikasi ny. Insa allah klo lebih bgus sya beri 5 bintag🙏🙏🙏",3,0
Min gua nyoba tukar tambah kok gak bisa si mala di suruh berkali kali cek volume padahan normal gua kasih bintang 1 deh,1,0
semoga lebih bnyak lagi promo dan cashback,3,0
Ribet mungkin sya mash baru...,1,0
tolong perbaiki sistem buat double voucher..,3,0
Ok,3,0
"Pelayanan pedagang buruk , saya pesen barang pake jasa pengiriman 1 hari , eh dibaru di kirim 3 hari kemudian , padahal dari Jakarta pusat ke Jakarta barat , saya minta cancel pun ga di kasih",1,0
"Sudah seminggu ini saya tidak bisa akses toped.Sistem loading terus menerus dgn tulisan : oops internet terputus,cek ulang koneksimu. Padahal sdh saya upgrade sampai dua kali,jaringan internet juga gak ada masalah karena ketika buka BL,Lazada maupun Shopee lancar lancar saja. Bagaimana solusinya ini TOPED ? Apakah ini ada hubunganya dgn 15 juta akun yg dibajak ?",1,0
"Qu psen sejak sabtu Tpi sampe hri ini slasa, barang blom dikirim. Pesanan masih diproses. Penjualnya leled bgt",1,0
Ancurrrr berat bgt aplikasinya,1,0
Saya mau cairin saldo ko susah ya? Gimana ini?,1,0
2 kali membeli produk dalam bentuk top up. Selalu di kecewa kan,2,0
Kenapa voucher cashback saya kok nggak masuk di ovo poin atau di saldo ya ? Padahal saat chekout saya cantumkan voucher cashback nyaa,2,0
Beli pelatihan ststus gagal tp saldo pelatihan terpotong 300rb gimana nih gw mau redeem paket biar cepet kelar pelatihany,1,0
Lumayan.... Lambat,3,0
"Akun toped sya gk bisa di buka ,,error error mulu ,,pdahal jaringan dah ok. tlg dong bnerin ..",1,0
Sudah buat pin tokped tapi tetap aja gak kedetek PINnya dan malah suruh buat terus.,2,0
Apk taiiiiiiiiiikkkk penipu,2,0
